"","49436004","prevalence_group","ISO","region","60621009"
"1",303.4,"low (<400)","AFG","Afghanistan",23.46
"2",564.5,"medium (400-600)","ALB","Albania",26.84
"3",311,"low (<400)","DZA","Algeria",25.71
"4",418.7,"medium (400-600)","ASM","American Samoa",34.11
"5",586,"medium (400-600)","AND","Andorra",26.88
"6",341.8,"low (<400)","AGO","Angola",23.41
"7",528.2,"medium (400-600)","ATG","Antigua and Barbuda",26.89
"8",571.5,"medium (400-600)","ARG","Argentina",27.91
"9",558.2,"medium (400-600)","ARM","Armenia",26.47
"10",777.9,"high (>600)","AUS","Australia",27.3
"11",777.5,"high (>600)","AUT","Austria",25.71
"12",530,"medium (400-600)","AZE","Azerbaijan",27.2
"13",315.3,"low (<400)","BHR","Bahrain",24.84
"14",394.2,"low (<400)","BGD","Bangladesh",21.73
"15",541.6,"medium (400-600)","BRB","Barbados",27.96
"16",581.8,"medium (400-600)","BLR","Belarus",26.77
"17",583.8,"medium (400-600)","BEL","Belgium",26.28
"18",550.5,"medium (400-600)","BLZ","Belize",29.19
"19",338.8,"low (<400)","BEN","Benin",23.62
"20",565.2,"medium (400-600)","BMU","Bermuda",28.58
"21",390.1,"low (<400)","BTN","Bhutan",24.08
"22",513.5,"medium (400-600)","BOL","Bolivia",26.67
"23",595.1,"medium (400-600)","BIH","Bosnia and Herzegovina",25.94
"24",364.7,"low (<400)","BWA","Botswana",24.47
"25",640.9,"high (>600)","BRA","Brazil",26.76
"26",257.2,"low (<400)","BRN","Brunei Darussalam",27.32
"27",564.6,"medium (400-600)","BGR","Bulgaria",26.63
"28",352.7,"low (<400)","BFA","Burkina Faso",22.2
"29",339.4,"low (<400)","BDI","Burundi",21.73
"30",373.4,"low (<400)","KHM","Cambodia",22.27
"31",354.7,"low (<400)","CMR","Cameroon",24.44
"32",638.7,"high (>600)","CAN","Canada",27.11
"33",370.5,"low (<400)","CPV","Cabo Verde",24.61
"34",327.9,"low (<400)","CAF","Central African Republic",22.93
"35",345.9,"low (<400)","TCD","Chad",22.01
"36",574.5,"medium (400-600)","CHL","Chile",28.17
"37",413.6,"medium (400-600)","CHN","China",23.93
"38",530.2,"medium (400-600)","COL","Colombia",26.37
"39",311.9,"low (<400)","COM","Comoros",24.56
"40",343.6,"low (<400)","COG","Congo",23.31
"41",532.1,"medium (400-600)","CRI","Costa Rica",27.51
"42",359.6,"low (<400)","CIV","Cote d'Ivoire",23.86
"43",483.3,"medium (400-600)","HRV","Croatia",27.62
"44",540.8,"medium (400-600)","CUB","Cuba",25.79
"45",525.1,"medium (400-600)","CYP","Cyprus",26.98
"46",639.3,"high (>600)","CZE","Czech Republic",27.31
"47",318.4,"low (<400)","COD","DR Congo",22.08
"48",637.4,"high (>600)","DNK","Denmark",25.42
"49",334.6,"low (<400)","DJI","Djibouti",24.13
"50",549.9,"medium (400-600)","DMA","Dominica",27.15
"51",546.7,"medium (400-600)","DOM","Dominican Republic",26.63
"52",538.5,"medium (400-600)","ECU","Ecuador",27.42
"53",324.4,"low (<400)","EGY","Egypt",29.81
"54",511.3,"medium (400-600)","SLV","El Salvador",27.74
"55",347.3,"low (<400)","GNQ","Equatorial Guinea",24.21
